first_name,surname,team,date,stage_of_all_ireland,games,score_breakdown,total_goals,total_points
Colin ,Fennelly,Kilkenny,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Colin ,Fennelly,Kilkenny,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Walter,Walsh,Kilkenny,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Walter,Walsh,Kilkenny,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
James,Maher,Kilkenny,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
James,Maher,Kilkenny,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
John ,Donnelly,Kilkenny,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Paul,Ryan,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Goals from play,1,0
Paul,Ryan,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from free,0,1
Paul,Ryan,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from free,0,1
Paul,Ryan,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from free,0,1
Paul,Ryan,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from free,0,1
Paul,Ryan,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from free,0,1
Paul,Ryan,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Conal,Keaney,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Conal,Keaney,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Conal,Keaney,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Conal,Keaney,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Fergal,Whitely,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Goals from play,1,0
Jake,Malone,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Goals from play,1,0
Paul,Winters,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from free,0,1
Paul,Winters,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from free,0,1
Paul,Winters,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Tomas,Connolly,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Fiontan,MacGib,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
Chris,Crummey,Dublin,13/05/2018,leinster,02. Dublin 3-16 Kilkenny 1-24,Points from play,0,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
